Firm,Website,Firm's Investment Category,HQ
Glasswing Ventures,www.glasswing.vc,"Energy, SaaS, Big Data, Mobile, Security, Consumer, Blockchain","Boston, Massachusetts, United States"
Global Brain Corporation,globalbrains.com,"SaaS, AI/ML, Enterprise, Social, Mobile, E-Commerce, Consumer","Tokyo, Tokyo, Japan"
GM&C Life Sciences Fund,www.gmclifesciencesfund.com,"Life Sci., Healthcare","Alderley Edge, Cheshire, United Kingdom"
Gobi Partners,www.gobivc.com,"Mobile, Transportation, Enterprise, Finance, Travel, Social, E-Commerce","Shanghai, Shanghai, China"
Golden Gate Ventures,goldengate.vc,"Finance, E-Commerce, SaaS, Mobile, Enterprise, Consumer","Singapore, Asia"
Golden Venture Partners,golden.ventures,"SaaS, Healthcare, Hardware, Social, Food & Drink, AI/ML, Big Data","Toronto, Ontario, Canada"
Good News Ventures,goodnewsventures.com,"Automotive, Space, E-Commerce, Retail, Enterprise, Mobile, Marketplace","Toronto, Ontario, Canada"
Grand Ventures,grandvcp.com,"Education, E-Commerce, Automotive, Mobile, Consumer, Transportation","Grand Rapids, Michigan, United States"
Graph Ventures,www.graphventures.com,"E-Commerce, Enterprise, Finance, Social, Mobile, Healthcare, Consumer","Palo Alto, California, United States"
GREE Ventures,www.greeventures.com,"SaaS, Social, Enterprise, E-Commerce, Mobile, Healthcare, Consumer","Tokyo, Tokyo, Japan"
GREE VR Capital,www.gfrfund.com,"Social, Mobile, Retail, Marketplace, E-Commerce, Consumer",
Greycroft,www.greycroft.com,"Big Data, Enterprise, E-Commerce, SaaS, Social, Media, Mobile","New York, New York, United States"
Greylock Partners,www.greylock.com,"Big Data, Security, Mobile, Enterprise, Social, SaaS","Menlo Park, California, United States"
GSR Ventures,www.gsrventures.cn,"Social, E-Commerce, Mobile, Consumer","Beijing, Beijing, China"
Hack VC,hack-vc.com,"SaaS, Social, Enterprise, E-Commerce, Mobile, Healthcare, Consumer",
Harmony Partners,www.harmonyvp.com,"Big Data, Mobile, Enterprise, SaaS, Security","New York, New York, United States"
Harrison Metal,www.harrisonmetal.com,"Mobile, E-Commerce, Enterprise, Big Data, Social, SaaS, Consumer","San Francisco, California, United States"
Haystack,haystack.vc,"Social, SaaS, Marketplace, Mobile, Enterprise, AI/ML","Menlo Park, California, United States"
Hi Inov,www.hiinov.com,"Travel, Transportation, E-Commerce, Energy, Finance, Marketplace, Big Data","Lyon, Rhone-Alpes, France"
Highland Capital Partners,www.hcp.com,"Life Sci., Enterprise, Mobile, Healthcare, E-Commerce, Consumer","Palo Alto, California, United States"
